af_id,ano_letivo,aluno_id,data,agregado,rendim_líquido,despesa_anual,irs,tax_soc,tax_impos,renda,med_transp,medicacao,outros
1,2023/2024,1,2024-03-01 00:00:00,4,25000,8000,15%,11%,,500,Mensal,Sim,
2,2023/2024,2,2024-03-02 00:00:00,3,30000,9000,12%,9%,3%,600,,Não,
3,2023/2024,3,2024-03-03 00:00:00,5,27000,8500,14%,10%,,550,Mensal,Sim,Outros custos
4,2023/2024,4,2024-03-04 00:00:00,2,32000,7500,13%,8%,2%,700,,Não,
5,2023/2024,5,2024-03-05 00:00:00,6,23000,7200,16%,12%,,450,Mensal,Sim,
6,2023/2024,6,2024-03-06 00:00:00,4,26000,8900,15%,11%,,480,,Não,Encargos escolares
7,2023/2024,7,2024-03-07 00:00:00,3,29000,9100,14%,10%,3%,620,Mensal,Sim,
8,2023/2024,8,2024-03-08 00:00:00,5,21000,7800,17%,13%,,400,,Não,
9,2023/2024,9,2024-03-09 00:00:00,2,33000,7700,12%,8%,1.5%,750,Mensal,Sim,
10,2023/2024,10,2024-03-10 00:00:00,4,28000,8900,14%,9%,,530,,Não,
11,2023/2024,11,2024-03-11 00:00:00,3,27000,9200,15%,11%,3%,580,Mensal,Sim,Despesas médicas
12,2023/2024,12,2024-03-12 00:00:00,6,25000,8000,16%,12%,,510,,Não,
13,2023/2024,13,2024-03-13 00:00:00,5,30000,8700,13%,9%,2.5%,650,Mensal,Sim,
14,2023/2024,14,2024-03-14 00:00:00,2,34000,7600,12%,8%,,770,,Não,
15,2023/2024,15,2024-03-15 00:00:00,4,26000,8900,15%,10%,,490,Mensal,Sim,Outros encargos
16,2023/2024,16,2024-03-16 00:00:00,3,32000,7400,12%,8%,1.5%,710,,Não,
17,2023/2024,17,2024-03-17 00:00:00,6,22000,8100,17%,13%,,420,Mensal,Sim,
18,2023/2024,18,2024-03-18 00:00:00,5,29000,8500,14%,9%,,620,,Não,
19,2023/2024,19,2024-03-19 00:00:00,3,31000,7800,12%,8%,2%,680,Mensal,Sim,
20,2023/2024,20,2024-03-20 00:00:00,4,27000,8600,15%,11%,,550,,Não,Encargos escolares
