saida_id,aluno_id,hora_entrada,hora_saida,autorizacao_sair,valencia
1,1,2024-03-20 08:00:00,2024-03-20 17:30:00,Pais,1
2,2,2024-03-20 08:15:00,2024-03-20 17:45:00,Tio,2
3,3,2024-03-20 08:10:00,2024-03-20 17:20:00,Mãe,3
4,4,2024-03-20 08:05:00,2024-03-20 17:50:00,Pai,4
5,5,2024-03-20 08:20:00,2024-03-20 17:40:00,Irmão,5
6,6,2024-03-20 08:25:00,2024-03-20 18:00:00,Pais,6
7,7,2024-03-20 08:30:00,2024-03-20 17:10:00,Tia,7
8,8,2024-03-20 08:00:00,2024-03-20 17:00:00,Avó,8
9,9,2024-03-20 08:45:00,2024-03-20 18:15:00,Mãe,9
10,10,2024-03-20 08:50:00,2024-03-20 17:55:00,Pai,10
11,11,2024-03-20 08:05:00,2024-03-20 17:20:00,Irmã,11
12,12,2024-03-20 08:10:00,2024-03-20 18:05:00,Pais,12
13,13,2024-03-20 08:35:00,2024-03-20 18:10:00,Tio,13
14,14,2024-03-20 08:15:00,2024-03-20 17:30:00,Pais,14
15,15,2024-03-20 08:40:00,2024-03-20 17:25:00,Avô,15
16,16,2024-03-20 08:50:00,2024-03-20 18:00:00,Mãe,16
17,17,2024-03-20 08:55:00,2024-03-20 17:45:00,Pai,17
18,18,2024-03-20 08:20:00,2024-03-20 17:35:00,Irmã,18
19,19,2024-03-20 08:30:00,2024-03-20 17:50:00,Tia,19
20,20,2024-03-20 08:00:00,2024-03-20 17:00:00,Pais,20
