mss_id,aluno_id,aluno_mensalidade_id,data_inicio,data_fim,mensalidade_valor,mensalidade_paga,data_pagamento,modo_pagamento,programa_ss,acordo
1,1,1,2026-01-01 00:00:00,,120.50,120.00,2026-01-05,Transferência,Sim,Acordo A
2,2,2,2026-01-01 00:00:00,,95.00,90.00,2026-01-10,MB Way,Não,Acordo B
3,3,3,2026-01-01 00:00:00,,110.00,110.00,2026-01-08,Dinheiro,Sim,Acordo A
4,4,4,2026-01-01 00:00:00,,130.75,120.00,2026-01-12,Transferência,Não,Acordo C
5,5,5,2026-01-01 00:00:00,,100.00,100.00,2026-01-07,MB Way,Sim,Acordo B
6,6,6,2026-01-01 00:00:00,,90.25,90.00,2026-01-15,Dinheiro,Não,Acordo A
7,7,7,2026-01-01 00:00:00,,115.00,100.00,2026-01-20,Transferência,Sim,Acordo C
8,8,8,2026-01-01 00:00:00,,105.50,105.00,2026-01-18,MB Way,Não,Acordo B
9,9,9,2026-01-01 00:00:00,,98.00,95.00,2026-01-22,Dinheiro,Sim,Acordo A
10,10,10,2026-01-01 00:00:00,,125.00,125.00,2026-01-25,Transferência,Não,Acordo C
11,11,11,2026-01-01 00:00:00,,102.00,102.00,2026-01-06,MB Way,Sim,Acordo A
12,12,12,2026-01-01 00:00:00,,118.50,110.00,2026-01-11,Dinheiro,Não,Acordo B
13,13,13,2026-01-01 00:00:00,,99.75,99.00,2026-01-09,Transferência,Sim,Acordo C
14,14,14,2026-01-01 00:00:00,,121.00,121.00,2026-01-13,MB Way,Não,Acordo A
15,15,15,2026-01-01 00:00:00,,107.25,102.00,2026-01-16,Dinheiro,Sim,Acordo B
16,16,16,2026-01-01 00:00:00,,112.50,112.00,2026-01-17,Transferência,Não,Acordo C
17,17,17,2026-01-01 00:00:00,,96.00,96.00,2026-01-19,MB Way,Sim,Acordo A
18,18,18,2026-01-01 00:00:00,,123.75,114.00,2026-01-21,Dinheiro,Não,Acordo B
19,19,19,2026-01-01 00:00:00,,108.50,108.00,2026-01-23,Transferência,Sim,Acordo C
20,20,20,2026-01-01 00:00:00,,97.25,97.00,2026-01-24,MB Way,Não,Acordo A
