pagamento_comparticao_id,comparticao_id,metodo_pagamento_id,valor,data
1,1,1,120,2026-01-05 00:00:00
2,2,2,50,2026-01-10 00:00:00
3,2,3,40,2026-01-11 00:00:00
4,3,3,110,2026-01-08 00:00:00
5,4,1,70,2026-01-12 00:00:00
6,4,2,50,2026-01-13 00:00:00
7,5,2,100,2026-01-07 00:00:00
8,6,3,90,2026-01-15 00:00:00
9,7,1,100,2026-01-20 00:00:00
10,8,2,105,2026-01-18 00:00:00
11,9,3,95,2026-01-22 00:00:00
12,10,1,125,2026-01-25 00:00:00
13,11,2,52,2026-01-06 00:00:00
14,11,1,50,2026-01-07 00:00:00
15,12,3,110,2026-01-11 00:00:00
16,13,1,99,2026-01-09 00:00:00
17,14,2,121,2026-01-13 00:00:00
18,15,3,102,2026-01-16 00:00:00
19,16,1,112,2026-01-17 00:00:00
20,17,2,96,2026-01-19 00:00:00
21,18,3,114,2026-01-21 00:00:00
22,19,1,58,2026-01-23 00:00:00
23,19,2,50,2026-01-24 00:00:00
24,20,2,97,2026-01-24 00:00:00
