pagamento_mensalidade_id,mensalidade_id,metodo_pagamento_id,valor,data
1,1,1,100,2026-01-05 00:00:00
2,1,2,20,2026-01-06 00:00:00
3,2,2,90,2026-01-10 00:00:00
4,3,3,60,2026-01-08 00:00:00
5,3,1,50,2026-01-09 00:00:00
6,4,1,120,2026-01-12 00:00:00
7,5,2,50,2026-01-07 00:00:00
8,5,3,50,2026-01-08 00:00:00
9,6,3,90,2026-01-15 00:00:00
10,7,1,100,2026-01-20 00:00:00
11,8,2,105,2026-01-18 00:00:00
12,9,3,45,2026-01-22 00:00:00
13,9,1,50,2026-01-23 00:00:00
14,10,1,125,2026-01-25 00:00:00
15,11,2,102,2026-01-06 00:00:00
16,12,3,60,2026-01-11 00:00:00
17,12,2,50,2026-01-12 00:00:00
18,13,1,99,2026-01-09 00:00:00
19,14,2,121,2026-01-13 00:00:00
20,15,3,102,2026-01-16 00:00:00
21,16,1,112,2026-01-17 00:00:00
22,17,2,96,2026-01-19 00:00:00
23,18,3,64,2026-01-21 00:00:00
24,18,1,50,2026-01-22 00:00:00
25,19,1,108,2026-01-23 00:00:00
26,20,2,97,2026-01-24 00:00:00
