salario_id,valor,descricao,data_pagamento,subsidio_tipo,subsidio_valor
1,1200.50,""Salário base"",2025-02-28,Alimentação,150.00
2,1350.75,""Salário com bonificação"",2025-02-28,Transporte,100.00
3,1100.00,""Salário base"",2025-03-15,Alimentação,140.00
4,1450.25,""Bónus de desempenho"",2025-03-30,Viagem,200.00
5,1600.00,""Salário base"",2025-04-10,Alimentação,175.00
6,1250.50,""Horas extras"",2025-04-25,Transporte,120.00
7,1700.75,""Aumento salarial"",2025-05-05,Alimentação,190.00
8,1150.00,""Salário base"",2025-05-20,Viagem,110.00
9,1300.25,""Promoção"",2025-06-01,Transporte,130.00
10,1400.00,""Salário base"",2025-06-15,Alimentação,160.00
11,1500.50,""Ajuste inflacionário"",2025-07-01,Viagem,180.00
12,1200.75,""Horas extras"",2025-07-10,Transporte,125.00
13,1800.00,""Bónus anual"",2025-07-30,Alimentação,210.00
14,1550.25,""Salário base"",2025-08-05,Viagem,195.00
15,1650.00,""Promoção"",2025-08-20,Transporte,185.00
16,1750.50,""Salário base"",2025-09-01,Alimentação,200.00
17,1850.75,""Bónus de desempenho"",2025-09-10,Viagem,220.00
18,1900.00,""Salário base"",2025-09-25,Transporte,230.00
19,2000.25,""Ajuste salarial"",2025-10-05,Alimentação,250.00
20,2100.00,""Salário com gratificação"",2025-10-20,Viagem,270.00
